size,count,type,redop,root,time,algbw,busbw,#wrong,time,algbw,busbw,#wrong
8,2,float,sum,-1,50.99,0.00,0.00,0,50.71,0.00,0.00,0
16,4,float,sum,-1,50.81,0.00,0.00,0,49.79,0.00,0.00,0
32,8,float,sum,-1,51.02,0.00,0.00,0,51.27,0.00,0.00,0
64,16,float,sum,-1,55.62,0.00,0.00,0,56.35,0.00,0.00,0
128,32,float,sum,-1,57.41,0.00,0.00,0,56.51,0.00,0.00,0
256,64,float,sum,-1,63.68,0.00,0.01,0,118.9,0.00,0.00,0
512,128,float,sum,-1,60.32,0.01,0.02,0,59.01,0.01,0.02,0
1024,256,float,sum,-1,67.81,0.02,0.03,0,66.48,0.02,0.03,0
2048,512,float,sum,-1,71.70,0.03,0.06,0,71.63,0.03,0.06,0
4096,1024,float,sum,-1,114.9,0.04,0.07,0,114.7,0.04,0.07,0
8192,2048,float,sum,-1,114.6,0.07,0.14,0,167.0,0.05,0.10,0
16384,4096,float,sum,-1,116.4,0.14,0.28,0,114.4,0.14,0.28,0
32768,8192,float,sum,-1,119.9,0.27,0.54,0,117.1,0.28,0.55,0
65536,16384,float,sum,-1,136.4,0.48,0.95,0,134.4,0.49,0.96,0
131072,32768,float,sum,-1,176.8,0.74,1.46,0,168.4,0.78,1.53,0
262144,65536,float,sum,-1,240.8,1.09,2.14,0,239.3,1.10,2.16,0
524288,131072,float,sum,-1,257.7,2.03,4.01,0,254.7,2.06,4.05,0
1048576,262144,float,sum,-1,344.7,3.04,5.99,0,345.3,3.04,5.98,0
2097152,524288,float,sum,-1,533.0,3.93,7.75,0,531.9,3.94,7.76,0
4194304,1048576,float,sum,-1,898.0,4.67,9.20,0,896.8,4.68,9.21,0
8388608,2097152,float,sum,-1,963.2,8.71,17.15,0,961.2,8.73,17.18,0
16777216,4194304,float,sum,-1,1171.9,14.32,28.18,0,1165.4,14.40,28.34,0
33554432,8388608,float,sum,-1,1542.8,21.75,42.82,0,1542.7,21.75,42.82,0
67108864,16777216,float,sum,-1,2332.6,28.77,56.64,0,2336.7,28.72,56.54,0
134217728,33554432,float,sum,-1,2954.8,45.42,89.43,0,2953.8,45.44,89.46,0
268435456,67108864,float,sum,-1,5761.4,46.59,91.73,0,5758.5,46.62,91.77,0
536870912,134217728,float,sum,-1,11595,46.30,91.16,0,11610,46.24,91.04,0
1073741824,268435456,float,sum,-1,23186,46.31,91.17,0,23340,46.00,90.57,0
2147483648,536870912,float,sum,-1,46562,46.12,90.80,0,46822,45.87,90.30,0
4294967296,1073741824,float,sum,-1,93010,46.18,90.91,0,93611,45.88,90.33,0
8,2,float,sum,-1,52.16,0.00,0.00,0,50.21,0.00,0.00,0
16,4,float,sum,-1,50.34,0.00,0.00,0,50.00,0.00,0.00,0
32,8,float,sum,-1,50.71,0.00,0.00,0,50.22,0.00,0.00,0
64,16,float,sum,-1,54.83,0.00,0.00,0,54.55,0.00,0.00,0
