size,count,type,redop,root,time,algbw,busbw,#wrong,time,algbw,busbw,#wrong
8,2,float,sum,-1,620.0,0.00,0.00,0,626.5,0.00,0.00,0
16,4,float,sum,-1,591.2,0.00,0.00,0,614.9,0.00,0.00,0
32,8,float,sum,-1,696.7,0.00,0.00,0,579.7,0.00,0.00,0
64,16,float,sum,-1,655.3,0.00,0.00,0,585.3,0.00,0.00,0
128,32,float,sum,-1,540.8,0.00,0.00,0,544.7,0.00,0.00,0
256,64,float,sum,-1,548.6,0.00,0.00,0,540.0,0.00,0.00,0
512,128,float,sum,-1,545.5,0.00,0.00,0,864.7,0.00,0.00,0
1024,256,float,sum,-1,546.1,0.00,0.00,0,548.8,0.00,0.00,0
2048,512,float,sum,-1,550.7,0.00,0.01,0,549.0,0.00,0.01,0
4096,1024,float,sum,-1,449.8,0.01,0.02,0,436.4,0.01,0.02,0
8192,2048,float,sum,-1,752.1,0.01,0.02,0,775.0,0.01,0.02,0
16384,4096,float,sum,-1,2312.8,0.01,0.01,0,2419.8,0.01,0.01,0
32768,8192,float,sum,-1,3387.3,0.01,0.02,0,3228.1,0.01,0.02,0
65536,16384,float,sum,-1,3206.9,0.02,0.04,0,3402.2,0.02,0.04,0
131072,32768,float,sum,-1,4423.1,0.03,0.06,0,4372.8,0.03,0.06,0
262144,65536,float,sum,-1,3559.9,0.07,0.14,0,4335.8,0.06,0.12,0
524288,131072,float,sum,-1,78835,0.01,0.01,0,40120,0.01,0.03,0
1048576,262144,float,sum,-1,39297,0.03,0.05,0,38580,0.03,0.05,0
2097152,524288,float,sum,-1,39879,0.05,0.10,0,38331,0.05,0.11,0
4194304,1048576,float,sum,-1,37635,0.11,0.22,0,35636,0.12,0.23,0
8388608,2097152,float,sum,-1,56672,0.15,0.29,0,52929,0.16,0.31,0
16777216,4194304,float,sum,-1,153373,0.11,0.22,0,88898,0.19,0.37,0
