size,count,type,redop,root,time,algbw,busbw,#wrong,time,algbw,busbw,#wrong
8,2,float,sum,-1,422.2,0.00,0.00,0,417.2,0.00,0.00,0
16,4,float,sum,-1,421.3,0.00,0.00,0,415.6,0.00,0.00,0
32,8,float,sum,-1,412.8,0.00,0.00,0,404.7,0.00,0.00,0
64,16,float,sum,-1,400.9,0.00,0.00,0,400.1,0.00,0.00,0
128,32,float,sum,-1,391.8,0.00,0.00,0,395.1,0.00,0.00,0
256,64,float,sum,-1,385.0,0.00,0.00,0,541.9,0.00,0.00,0
512,128,float,sum,-1,383.1,0.00,0.00,0,420.8,0.00,0.00,0
1024,256,float,sum,-1,390.2,0.00,0.01,0,589.2,0.00,0.00,0
2048,512,float,sum,-1,397.2,0.01,0.01,0,840.4,0.00,0.00,0
4096,1024,float,sum,-1,349.0,0.01,0.02,0,352.2,0.01,0.02,0
8192,2048,float,sum,-1,704.8,0.01,0.02,0,749.0,0.01,0.02,0
16384,4096,float,sum,-1,2038.3,0.01,0.02,0,2082.3,0.01,0.02,0
32768,8192,float,sum,-1,2796.5,0.01,0.02,0,2792.3,0.01,0.02,0
65536,16384,float,sum,-1,2864.0,0.02,0.04,0,2823.9,0.02,0.04,0
131072,32768,float,sum,-1,2978.3,0.04,0.09,0,3007.3,0.04,0.08,0
262144,65536,float,sum,-1,3143.3,0.08,0.16,0,3462.1,0.08,0.15,0
524288,131072,float,sum,-1,793.6,0.66,1.28,0,809.4,0.65,1.26,0
1048576,262144,float,sum,-1,38791,0.03,0.05,0,34356,0.03,0.06,0
2097152,524288,float,sum,-1,46398,0.05,0.09,0,38027,0.06,0.11,0
4194304,1048576,float,sum,-1,28675,0.15,0.28,0,24135,0.17,0.34,0
8388608,2097152,float,sum,-1,44736,0.19,0.36,0,43516,0.19,0.37,0
16777216,4194304,float,sum,-1,77288,0.22,0.42,0,115766,0.14,0.28,0
