size,count,type,redop,root,time,algbw,busbw,#wrong,time,algbw,busbw,#wrong
8,2,float,sum,-1,17.13,0.00,0.00,0,16.05,0.00,0.00,0
16,4,float,sum,-1,16.42,0.00,0.00,0,15.83,0.00,0.00,0
32,8,float,sum,-1,15.91,0.00,0.00,0,15.95,0.00,0.00,0
64,16,float,sum,-1,17.28,0.00,0.01,0,17.52,0.00,0.01,0
128,32,float,sum,-1,17.58,0.01,0.01,0,17.64,0.01,0.01,0
256,64,float,sum,-1,18.01,0.01,0.02,0,17.67,0.01,0.03,0
512,128,float,sum,-1,18.32,0.03,0.05,0,18.15,0.03,0.05,0
1024,256,float,sum,-1,19.10,0.05,0.09,0,19.04,0.05,0.09,0
2048,512,float,sum,-1,19.82,0.10,0.18,0,19.66,0.10,0.18,0
4096,1024,float,sum,-1,32.58,0.13,0.22,0,31.79,0.13,0.23,0
8192,2048,float,sum,-1,33.41,0.25,0.43,0,31.96,0.26,0.45,0
16384,4096,float,sum,-1,33.56,0.49,0.85,0,33.11,0.49,0.87,0
32768,8192,float,sum,-1,35.15,0.93,1.63,0,34.57,0.95,1.66,0
65536,16384,float,sum,-1,66.30,0.99,1.73,0,65.33,1.00,1.76,0
131072,32768,float,sum,-1,66.07,1.98,3.47,0,65.52,2.00,3.50,0
262144,65536,float,sum,-1,90.99,2.88,5.04,0,91.05,2.88,5.04,0
524288,131072,float,sum,-1,100.8,5.20,9.10,0,99.58,5.27,9.21,0
1048576,262144,float,sum,-1,120.3,8.72,15.26,0,118.7,8.83,15.45,0
2097152,524288,float,sum,-1,171.5,12.23,21.40,0,188.0,11.15,19.52,0
4194304,1048576,float,sum,-1,271.5,15.45,27.03,0,299.9,13.99,24.48,0
8388608,2097152,float,sum,-1,327.3,25.63,44.86,0,351.1,23.89,41.81,0
16777216,4194304,float,sum,-1,441.9,37.97,66.45,0,466.7,35.95,62.91,0
33554432,8388608,float,sum,-1,1506112,0.02,0.04,0,1002.7,33.47,58.56,0
67108864,16777216,float,sum,-1,1176.5,57.04,99.82,0,1212.4,55.35,96.86,0
134217728,33554432,float,sum,-1,1952.0,68.76,120.33,0,1989.7,67.46,118.05,0
268435456,67108864,float,sum,-1,3482.0,77.09,134.91,0,3504.4,76.60,134.05,0
536870912,134217728,float,sum,-1,6525.0,82.28,143.99,0,6564.4,81.78,143.12,0
1073741824,268435456,float,sum,-1,12641,84.94,148.64,0,12670,84.75,148.31,0
2147483648,536870912,float,sum,-1,24880,86.31,151.05,0,24943,86.10,150.67,0
4294967296,1073741824,float,sum,-1,49415,86.92,152.10,0,49486,86.79,151.89,0
8,2,float,sum,-1,16.00,0.00,0.00,0,15.29,0.00,0.00,0
16,4,float,sum,-1,15.22,0.00,0.00,0,15.15,0.00,0.00,0
