size,count,type,redop,root,time,algbw,busbw,#wrong,time,algbw,busbw,#wrong
8,2,float,sum,-1,8.79,0.00,0.00,0,8.25,0.00,0.00,0
16,4,float,sum,-1,8.24,0.00,0.00,0,8.20,0.00,0.00,0
32,8,float,sum,-1,8.55,0.00,0.01,0,8.61,0.00,0.01,0
64,16,float,sum,-1,9.08,0.01,0.01,0,9.00,0.01,0.01,0
128,32,float,sum,-1,9.20,0.01,0.02,0,8.98,0.01,0.02,0
256,64,float,sum,-1,9.52,0.03,0.04,0,9.06,0.03,0.04,0
512,128,float,sum,-1,9.52,0.05,0.08,0,9.14,0.06,0.08,0
1024,256,float,sum,-1,9.62,0.11,0.16,0,9.16,0.11,0.17,0
2048,512,float,sum,-1,9.66,0.21,0.32,0,9.18,0.22,0.33,0
4096,1024,float,sum,-1,9.84,0.42,0.62,0,9.77,0.42,0.63,0
8192,2048,float,sum,-1,10.11,0.81,1.22,0,9.65,0.85,1.27,0
16384,4096,float,sum,-1,10.75,1.52,2.29,0,10.28,1.59,2.39,0
32768,8192,float,sum,-1,10.99,2.98,4.47,0,10.59,3.10,4.64,0
65536,16384,float,sum,-1,11.17,5.87,8.80,0,10.73,6.11,9.16,0
131072,32768,float,sum,-1,11.47,11.43,17.14,0,11.02,11.89,17.84,0
262144,65536,float,sum,-1,11.83,22.15,33.23,0,11.29,23.22,34.83,0
524288,131072,float,sum,-1,14.79,35.46,53.19,0,13.84,37.89,56.83,0
1048576,262144,float,sum,-1,18.62,56.31,84.46,0,18.57,56.47,84.70,0
2097152,524288,float,sum,-1,29.72,70.55,105.83,0,29.73,70.53,105.80,0
4194304,1048576,float,sum,-1,42.51,98.67,148.01,0,42.01,99.84,149.76,0
8388608,2097152,float,sum,-1,61.45,136.50,204.75,0,60.78,138.01,207.02,0
16777216,4194304,float,sum,-1,102.0,164.51,246.76,0,100.6,166.70,250.04,0
33554432,8388608,float,sum,-1,178.6,187.89,281.84,0,177.8,188.71,283.07,0
67108864,16777216,float,sum,-1,334.7,200.49,300.74,0,333.3,201.38,302.07,0
134217728,33554432,float,sum,-1,634.0,211.70,317.55,0,631.9,212.41,318.62,0
268435456,67108864,float,sum,-1,1226.3,218.91,328.36,0,1225.7,219.00,328.50,0
536870912,134217728,float,sum,-1,2404.7,223.26,334.89,0,2406.7,223.08,334.61,0
1073741824,268435456,float,sum,-1,4748.8,226.11,339.16,0,4749.4,226.08,339.12,0
2147483648,536870912,float,sum,-1,9485.9,226.39,339.58,0,9480.1,226.53,339.79,0
4294967296,1073741824,float,sum,-1,18956,226.58,339.87,0,18958,226.56,339.83,0
8,2,float,sum,-1,8.29,0.00,0.00,0,8.25,0.00,0.00,0
16,4,float,sum,-1,8.19,0.00,0.00,0,8.21,0.00,0.00,0
32,8,float,sum,-1,8.59,0.00,0.01,0,8.59,0.00,0.01,0
64,16,float,sum,-1,9.36,0.01,0.01,0,9.29,0.01,0.01,0
128,32,float,sum,-1,9.26,0.01,0.02,0,9.12,0.01,0.02,0
256,64,float,sum,-1,9.55,0.03,0.04,0,9.10,0.03,0.04,0
