size,count,type,redop,root,time,algbw,busbw,#wrong,time,algbw,busbw,#wrong
8,2,float,sum,-1,18.24,0.00,0.00,0,17.62,0.00,0.00,0
16,4,float,sum,-1,17.73,0.00,0.00,0,17.63,0.00,0.00,0
32,8,float,sum,-1,17.69,0.00,0.00,0,17.78,0.00,0.00,0
64,16,float,sum,-1,19.37,0.00,0.01,0,19.22,0.00,0.01,0
128,32,float,sum,-1,19.80,0.01,0.01,0,19.49,0.01,0.01,0
256,64,float,sum,-1,19.83,0.01,0.02,0,19.74,0.01,0.02,0
512,128,float,sum,-1,20.32,0.03,0.04,0,20.08,0.03,0.04,0
1024,256,float,sum,-1,22.71,0.05,0.08,0,22.19,0.05,0.08,0
2048,512,float,sum,-1,23.79,0.09,0.15,0,23.46,0.09,0.15,0
4096,1024,float,sum,-1,34.70,0.12,0.21,0,33.82,0.12,0.21,0
8192,2048,float,sum,-1,34.73,0.24,0.41,0,34.13,0.24,0.42,0
16384,4096,float,sum,-1,35.47,0.46,0.81,0,34.67,0.47,0.83,0
32768,8192,float,sum,-1,37.63,0.87,1.52,0,37.68,0.87,1.52,0
65536,16384,float,sum,-1,73.79,0.89,1.55,0,72.68,0.90,1.58,0
131072,32768,float,sum,-1,80.23,1.63,2.86,0,80.85,1.62,2.84,0
262144,65536,float,sum,-1,119.3,2.20,3.84,0,155.1,1.69,2.96,0
524288,131072,float,sum,-1,219.5,2.39,4.18,0,217.9,2.41,4.21,0
1048576,262144,float,sum,-1,327.6,3.20,5.60,0,328.2,3.19,5.59,0
2097152,524288,float,sum,-1,141.6,14.81,25.92,0,140.7,14.90,26.08,0
4194304,1048576,float,sum,-1,216.7,19.35,33.87,0,221.8,18.91,33.10,0
8388608,2097152,float,sum,-1,344.9,24.32,42.57,0,355.9,23.57,41.25,0
16777216,4194304,float,sum,-1,571.5,29.36,51.37,0,563.7,29.76,52.09,0
33554432,8388608,float,sum,-1,873.6,38.41,67.22,0,882.6,38.02,66.53,0
67108864,16777216,float,sum,-1,1416.8,47.37,82.89,0,1450.2,46.28,80.98,0
134217728,33554432,float,sum,-1,2354.0,57.02,99.78,0,2336.5,57.44,100.52,0
268435456,67108864,float,sum,-1,3843.3,69.85,122.23,0,3799.4,70.65,123.64,0
536870912,134217728,float,sum,-1,6784.9,79.13,138.47,0,6754.6,79.48,139.09,0
1073741824,268435456,float,sum,-1,12585,85.32,149.30,0,12627,85.04,148.82,0
2147483648,536870912,float,sum,-1,24239,88.60,155.04,0,24285,88.43,154.75,0
4294967296,1073741824,float,sum,-1,47615,90.20,157.85,0,47461,90.50,158.37,0
8,2,float,sum,-1,18.24,0.00,0.00,0,17.69,0.00,0.00,0
16,4,float,sum,-1,17.67,0.00,0.00,0,17.63,0.00,0.00,0
32,8,float,sum,-1,17.85,0.00,0.00,0,17.87,0.00,0.00,0
64,16,float,sum,-1,19.33,0.00,0.01,0,19.35,0.00,0.01,0
128,32,float,sum,-1,19.79,0.01,0.01,0,19.44,0.01,0.01,0
256,64,float,sum,-1,19.77,0.01,0.02,0,19.87,0.01,0.02,0
512,128,float,sum,-1,20.44,0.03,0.04,0,20.33,0.03,0.04,0
1024,256,float,sum,-1,22.46,0.05,0.08,0,22.25,0.05,0.08,0
2048,512,float,sum,-1,23.72,0.09,0.15,0,23.58,0.09,0.15,0
4096,1024,float,sum,-1,34.43,0.12,0.21,0,33.90,0.12,0.21,0
