size,count,type,redop,root,time,algbw,busbw,#wrong,time,algbw,busbw,#wrong
8,2,float,sum,-1,48.50,0.00,0.00,0,47.24,0.00,0.00,0
16,4,float,sum,-1,47.91,0.00,0.00,0,46.37,0.00,0.00,0
32,8,float,sum,-1,46.60,0.00,0.00,0,74.63,0.00,0.00,0
64,16,float,sum,-1,54.89,0.00,0.00,0,54.26,0.00,0.00,0
128,32,float,sum,-1,107.2,0.00,0.00,0,111.8,0.00,0.00,0
256,64,float,sum,-1,113.1,0.00,0.00,0,168.7,0.00,0.00,0
512,128,float,sum,-1,112.2,0.00,0.01,0,109.3,0.00,0.01,0
1024,256,float,sum,-1,112.8,0.01,0.02,0,111.4,0.01,0.02,0
2048,512,float,sum,-1,118.2,0.02,0.03,0,117.7,0.02,0.03,0
4096,1024,float,sum,-1,130.5,0.03,0.06,0,130.5,0.03,0.06,0
8192,2048,float,sum,-1,134.3,0.06,0.12,0,131.7,0.06,0.12,0
16384,4096,float,sum,-1,141.3,0.12,0.23,0,142.9,0.11,0.23,0
32768,8192,float,sum,-1,159.6,0.21,0.41,0,167.6,0.20,0.39,0
65536,16384,float,sum,-1,197.6,0.33,0.66,0,197.8,0.33,0.66,0
131072,32768,float,sum,-1,297.4,0.44,0.87,0,307.0,0.43,0.85,0
262144,65536,float,sum,-1,453.2,0.58,1.15,0,450.7,0.58,1.15,0
524288,131072,float,sum,-1,908.6,0.58,1.15,0,664.6,0.79,1.57,0
1048576,262144,float,sum,-1,14598,0.07,0.14,0,670.7,1.56,3.10,0
2097152,524288,float,sum,-1,1199.4,1.75,3.47,0,1193.5,1.76,3.49,0
4194304,1048576,float,sum,-1,1667.2,2.52,4.99,0,1746.2,2.40,4.77,0
8388608,2097152,float,sum,-1,2621.4,3.20,6.35,0,2637.7,3.18,6.31,0
16777216,4194304,float,sum,-1,4071.8,4.12,8.18,0,4056.2,4.14,8.21,0
33554432,8388608,float,sum,-1,5053.5,6.64,13.18,0,4929.2,6.81,13.51,0
67108864,16777216,float,sum,-1,8801.8,7.62,15.13,0,8622.6,7.78,15.44,0
134217728,33554432,float,sum,-1,15872,8.46,16.78,0,15777,8.51,16.88,0
268435456,67108864,float,sum,-1,95780,2.80,5.56,0,92609,2.90,5.75,0
536870912,134217728,float,sum,-1,86166,6.23,12.36,0,84473,6.36,12.61,0
