size,count,type,redop,root,time,algbw,busbw,#wrong,time,algbw,busbw,#wrong
8,2,float,sum,-1,31.14,0.00,0.00,0,29.45,0.00,0.00,0
16,4,float,sum,-1,30.23,0.00,0.00,0,29.34,0.00,0.00,0
32,8,float,sum,-1,29.62,0.00,0.00,0,30.59,0.00,0.00,0
64,16,float,sum,-1,34.18,0.00,0.00,0,33.88,0.00,0.00,0
128,32,float,sum,-1,35.79,0.00,0.01,0,34.34,0.00,0.01,0
256,64,float,sum,-1,38.12,0.01,0.01,0,35.14,0.01,0.01,0
512,128,float,sum,-1,36.55,0.01,0.03,0,35.42,0.01,0.03,0
1024,256,float,sum,-1,37.92,0.03,0.05,0,37.18,0.03,0.05,0
2048,512,float,sum,-1,40.79,0.05,0.10,0,39.67,0.05,0.10,0
4096,1024,float,sum,-1,78.86,0.05,0.10,0,77.02,0.05,0.10,0
8192,2048,float,sum,-1,79.61,0.10,0.20,0,86.73,0.09,0.18,0
16384,4096,float,sum,-1,80.64,0.20,0.39,0,79.07,0.21,0.40,0
32768,8192,float,sum,-1,81.60,0.40,0.78,0,81.24,0.40,0.78,0
65536,16384,float,sum,-1,95.94,0.68,1.32,0,93.55,0.70,1.36,0
131072,32768,float,sum,-1,120.3,1.09,2.11,0,117.3,1.12,2.17,0
262144,65536,float,sum,-1,172.9,1.52,2.94,0,169.0,1.55,3.01,0
524288,131072,float,sum,-1,240.1,2.18,4.23,0,237.4,2.21,4.28,0
1048576,262144,float,sum,-1,285.1,3.68,7.13,0,283.3,3.70,7.17,0
2097152,524288,float,sum,-1,425.6,4.93,9.55,0,426.8,4.91,9.52,0
4194304,1048576,float,sum,-1,708.4,5.92,11.47,0,712.1,5.89,11.41,0
8388608,2097152,float,sum,-1,803.4,10.44,20.23,0,801.3,10.47,20.28,0
16777216,4194304,float,sum,-1,1090.8,15.38,29.80,0,1090.3,15.39,29.81,0
33554432,8388608,float,sum,-1,1191.4,28.16,54.57,0,1177.1,28.51,55.23,0
67108864,16777216,float,sum,-1,2003.6,33.49,64.90,0,1999.5,33.56,65.03,0
134217728,33554432,float,sum,-1,3490.1,38.46,74.51,0,3494.7,38.41,74.41,0
268435456,67108864,float,sum,-1,6365.9,42.17,81.70,0,6545.8,41.01,79.46,0
536870912,134217728,float,sum,-1,12503,42.94,83.19,0,12501,42.95,83.21,0
1073741824,268435456,float,sum,-1,24732,43.41,84.12,0,24980,42.98,83.28,0
2147483648,536870912,float,sum,-1,47648,45.07,87.32,0,47659,45.06,87.30,0
4294967296,1073741824,float,sum,-1,94612,45.40,87.95,0,94713,45.35,87.86,0
8,2,float,sum,-1,30.38,0.00,0.00,0,29.87,0.00,0.00,0
16,4,float,sum,-1,29.44,0.00,0.00,0,29.49,0.00,0.00,0
32,8,float,sum,-1,29.57,0.00,0.00,0,29.56,0.00,0.00,0
64,16,float,sum,-1,33.16,0.00,0.00,0,32.80,0.00,0.00,0
128,32,float,sum,-1,34.53,0.00,0.01,0,34.00,0.00,0.01,0
256,64,float,sum,-1,35.18,0.01,0.01,0,34.51,0.01,0.01,0
512,128,float,sum,-1,35.99,0.01,0.03,0,35.34,0.01,0.03,0
1024,256,float,sum,-1,37.72,0.03,0.05,0,37.00,0.03,0.05,0
2048,512,float,sum,-1,40.37,0.05,0.10,0,39.26,0.05,0.10,0
4096,1024,float,sum,-1,77.87,0.05,0.10,0,77.17,0.05,0.10,0
8192,2048,float,sum,-1,78.72,0.10,0.20,0,77.85,0.11,0.20,0
16384,4096,float,sum,-1,80.63,0.20,0.39,0,79.32,0.21,0.40,0
32768,8192,float,sum,-1,161.4,0.20,0.39,0,80.94,0.40,0.78,0
65536,16384,float,sum,-1,95.50,0.69,1.33,0,93.78,0.70,1.35,0
131072,32768,float,sum,-1,119.9,1.09,2.12,0,116.9,1.12,2.17,0
262144,65536,float,sum,-1,172.7,1.52,2.94,0,167.7,1.56,3.03,0
524288,131072,float,sum,-1,239.6,2.19,4.24,0,237.6,2.21,4.27,0
1048576,262144,float,sum,-1,283.5,3.70,7.17,0,284.1,3.69,7.15,0
2097152,524288,float,sum,-1,427.6,4.90,9.50,0,432.3,4.85,9.40,0
4194304,1048576,float,sum,-1,709.1,5.91,11.46,0,709.1,5.92,11.46,0
8388608,2097152,float,sum,-1,804.2,10.43,20.21,0,801.6,10.47,20.28,0
16777216,4194304,float,sum,-1,1100.8,15.24,29.53,0,1092.5,15.36,29.75,0
