size,count,type,redop,root,time,algbw,busbw,#wrong,time,algbw,busbw,#wrong
8,2,float,sum,-1,39.76,0.00,0.00,0,37.26,0.00,0.00,0
16,4,float,sum,-1,37.01,0.00,0.00,0,36.81,0.00,0.00,0
32,8,float,sum,-1,36.66,0.00,0.00,0,37.49,0.00,0.00,0
64,16,float,sum,-1,42.50,0.00,0.00,0,42.62,0.00,0.00,0
128,32,float,sum,-1,44.28,0.00,0.01,0,43.13,0.00,0.01,0
256,64,float,sum,-1,51.18,0.01,0.01,0,44.39,0.01,0.01,0
512,128,float,sum,-1,47.50,0.01,0.02,0,44.93,0.01,0.02,0
1024,256,float,sum,-1,48.21,0.02,0.04,0,47.06,0.02,0.04,0
2048,512,float,sum,-1,51.30,0.04,0.08,0,51.33,0.04,0.08,0
4096,1024,float,sum,-1,102.2,0.04,0.08,0,101.0,0.04,0.08,0
8192,2048,float,sum,-1,103.9,0.08,0.16,0,102.2,0.08,0.16,0
16384,4096,float,sum,-1,124.7,0.13,0.26,0,127.0,0.13,0.25,0
32768,8192,float,sum,-1,136.7,0.24,0.47,0,143.3,0.23,0.45,0
65536,16384,float,sum,-1,222.9,0.29,0.58,0,216.4,0.30,0.60,0
131072,32768,float,sum,-1,303.0,0.43,0.85,0,304.7,0.43,0.85,0
262144,65536,float,sum,-1,455.1,0.58,1.13,0,432.4,0.61,1.19,0
524288,131072,float,sum,-1,368.7,1.42,2.80,0,455.6,1.15,2.27,0
1048576,262144,float,sum,-1,490.5,2.14,4.21,0,406.9,2.58,5.07,0
2097152,524288,float,sum,-1,652.4,3.21,6.33,0,665.1,3.15,6.21,0
4194304,1048576,float,sum,-1,1088.8,3.85,7.58,0,1059.0,3.96,7.80,0
8388608,2097152,float,sum,-1,1194.0,7.03,13.83,0,1270.0,6.61,13.00,0
16777216,4194304,float,sum,-1,1471.0,11.41,22.45,0,1548.5,10.83,21.33,0
33554432,8388608,float,sum,-1,2091.3,16.04,31.59,0,1974.3,17.00,33.46,0
67108864,16777216,float,sum,-1,2900.7,23.14,45.55,0,2974.5,22.56,44.42,0
134217728,33554432,float,sum,-1,5290.6,25.37,49.95,0,5267.1,25.48,50.17,0
268435456,67108864,float,sum,-1,8085.0,33.20,65.37,0,8083.8,33.21,65.38,0
536870912,134217728,float,sum,-1,14067,38.16,75.14,0,14147,37.95,74.71,0
1073741824,268435456,float,sum,-1,25306,42.43,83.53,0,25265,42.50,83.67,0
2147483648,536870912,float,sum,-1,50164,42.81,84.28,0,50664,42.39,83.45,0
4294967296,1073741824,float,sum,-1,99923,42.98,84.62,0,100568,42.71,84.08,0
8,2,float,sum,-1,38.37,0.00,0.00,0,36.60,0.00,0.00,0
16,4,float,sum,-1,36.13,0.00,0.00,0,36.34,0.00,0.00,0
32,8,float,sum,-1,36.98,0.00,0.00,0,36.57,0.00,0.00,0
64,16,float,sum,-1,41.14,0.00,0.00,0,41.64,0.00,0.00,0
128,32,float,sum,-1,43.49,0.00,0.01,0,42.80,0.00,0.01,0
256,64,float,sum,-1,44.47,0.01,0.01,0,42.92,0.01,0.01,0
512,128,float,sum,-1,46.02,0.01,0.02,0,45.22,0.01,0.02,0
1024,256,float,sum,-1,47.42,0.02,0.04,0,46.37,0.02,0.04,0
2048,512,float,sum,-1,51.11,0.04,0.08,0,50.49,0.04,0.08,0
4096,1024,float,sum,-1,102.8,0.04,0.08,0,101.6,0.04,0.08,0
8192,2048,float,sum,-1,103.1,0.08,0.16,0,102.2,0.08,0.16,0
16384,4096,float,sum,-1,134.7,0.12,0.24,0,131.3,0.12,0.25,0
32768,8192,float,sum,-1,127.1,0.26,0.51,0,128.3,0.26,0.50,0
65536,16384,float,sum,-1,233.7,0.28,0.55,0,191.3,0.34,0.67,0
131072,32768,float,sum,-1,299.2,0.44,0.86,0,300.6,0.44,0.86,0
262144,65536,float,sum,-1,455.5,0.58,1.13,0,442.1,0.59,1.17,0
524288,131072,float,sum,-1,339.3,1.55,3.04,0,336.7,1.56,3.07,0
1048576,262144,float,sum,-1,424.4,2.47,4.86,0,396.4,2.64,5.21,0
2097152,524288,float,sum,-1,682.2,3.07,6.05,0,681.1,3.08,6.06,0
