size,count,type,redop,root,time,algbw,busbw,#wrong,time,algbw,busbw,#wrong
8,2,float,sum,-1,38.25,0.00,0.00,0,37.44,0.00,0.00,0
16,4,float,sum,-1,36.86,0.00,0.00,0,36.70,0.00,0.00,0
32,8,float,sum,-1,38.33,0.00,0.00,0,36.72,0.00,0.00,0
64,16,float,sum,-1,42.52,0.00,0.00,0,42.54,0.00,0.00,0
128,32,float,sum,-1,81.21,0.00,0.00,0,79.38,0.00,0.00,0
256,64,float,sum,-1,90.17,0.00,0.01,0,80.84,0.00,0.01,0
512,128,float,sum,-1,84.54,0.01,0.01,0,182.4,0.00,0.01,0
1024,256,float,sum,-1,84.84,0.01,0.02,0,83.00,0.01,0.02,0
2048,512,float,sum,-1,97.46,0.02,0.04,0,89.67,0.02,0.04,0
4096,1024,float,sum,-1,99.06,0.04,0.08,0,96.98,0.04,0.08,0
8192,2048,float,sum,-1,100.5,0.08,0.16,0,98.54,0.08,0.16,0
16384,4096,float,sum,-1,102.3,0.16,0.32,0,100.4,0.16,0.32,0
32768,8192,float,sum,-1,101.6,0.32,0.63,0,100.8,0.33,0.64,0
65536,16384,float,sum,-1,120.2,0.55,1.07,0,118.5,0.55,1.09,0
131072,32768,float,sum,-1,187.2,0.70,1.38,0,156.1,0.84,1.65,0
262144,65536,float,sum,-1,222.0,1.18,2.32,0,223.1,1.17,2.31,0
524288,131072,float,sum,-1,267.2,1.96,3.86,0,264.6,1.98,3.90,0
1048576,262144,float,sum,-1,355.4,2.95,5.81,0,357.4,2.93,5.78,0
2097152,524288,float,sum,-1,542.6,3.87,7.61,0,546.4,3.84,7.56,0
4194304,1048576,float,sum,-1,907.9,4.62,9.10,0,906.1,4.63,9.11,0
8388608,2097152,float,sum,-1,994.1,8.44,16.61,0,997.4,8.41,16.56,0
16777216,4194304,float,sum,-1,1299.8,12.91,25.41,0,1301.4,12.89,25.38,0
33554432,8388608,float,sum,-1,1865.5,17.99,35.41,0,1857.5,18.06,35.56,0
67108864,16777216,float,sum,-1,2727.3,24.61,48.44,0,2725.0,24.63,48.48,0
134217728,33554432,float,sum,-1,4134.3,32.46,63.91,0,4154.7,32.30,63.60,0
268435456,67108864,float,sum,-1,7399.6,36.28,71.42,0,7396.9,36.29,71.45,0
536870912,134217728,float,sum,-1,13103,40.97,80.67,0,12824,41.86,82.42,0
1073741824,268435456,float,sum,-1,24188,44.39,87.39,0,24594,43.66,85.95,0
2147483648,536870912,float,sum,-1,48382,44.39,87.38,0,47370,45.33,89.25,0
4294967296,1073741824,float,sum,-1,93912,45.73,90.04,0,93575,45.90,90.36,0
8,2,float,sum,-1,38.38,0.00,0.00,0,37.10,0.00,0.00,0
16,4,float,sum,-1,36.79,0.00,0.00,0,36.57,0.00,0.00,0
32,8,float,sum,-1,37.48,0.00,0.00,0,36.82,0.00,0.00,0
64,16,float,sum,-1,41.72,0.00,0.00,0,42.06,0.00,0.00,0
128,32,float,sum,-1,80.84,0.00,0.00,0,78.71,0.00,0.00,0
256,64,float,sum,-1,82.33,0.00,0.01,0,81.23,0.00,0.01,0
512,128,float,sum,-1,83.52,0.01,0.01,0,82.43,0.01,0.01,0
1024,256,float,sum,-1,85.19,0.01,0.02,0,85.06,0.01,0.02,0
2048,512,float,sum,-1,91.60,0.02,0.04,0,88.06,0.02,0.05,0
4096,1024,float,sum,-1,99.33,0.04,0.08,0,99.28,0.04,0.08,0
8192,2048,float,sum,-1,101.6,0.08,0.16,0,98.98,0.08,0.16,0
16384,4096,float,sum,-1,103.5,0.16,0.31,0,101.2,0.16,0.32,0
32768,8192,float,sum,-1,105.8,0.31,0.61,0,101.0,0.32,0.64,0
65536,16384,float,sum,-1,122.0,0.54,1.06,0,127.9,0.51,1.01,0
131072,32768,float,sum,-1,181.8,0.72,1.42,0,156.3,0.84,1.65,0
262144,65536,float,sum,-1,222.4,1.18,2.32,0,229.9,1.14,2.24,0
524288,131072,float,sum,-1,269.1,1.95,3.84,0,266.4,1.97,3.87,0
1048576,262144,float,sum,-1,358.6,2.92,5.76,0,358.5,2.92,5.76,0
