size,count,type,redop,root,time,algbw,busbw,#wrong,time,algbw,busbw,#wrong
8,2,float,sum,-1,59.79,0.00,0.00,0,59.17,0.00,0.00,0
16,4,float,sum,-1,59.00,0.00,0.00,0,59.90,0.00,0.00,0
32,8,float,sum,-1,120.7,0.00,0.00,0,94.77,0.00,0.00,0
64,16,float,sum,-1,65.44,0.00,0.00,0,67.00,0.00,0.00,0
128,32,float,sum,-1,131.8,0.00,0.00,0,130.6,0.00,0.00,0
256,64,float,sum,-1,139.9,0.00,0.00,0,247.1,0.00,0.00,0
512,128,float,sum,-1,169.4,0.00,0.01,0,135.8,0.00,0.01,0
1024,256,float,sum,-1,136.1,0.01,0.01,0,134.5,0.01,0.02,0
2048,512,float,sum,-1,147.5,0.01,0.03,0,143.0,0.01,0.03,0
4096,1024,float,sum,-1,159.1,0.03,0.05,0,154.8,0.03,0.05,0
8192,2048,float,sum,-1,158.5,0.05,0.10,0,158.4,0.05,0.10,0
16384,4096,float,sum,-1,185.5,0.09,0.18,0,178.0,0.09,0.18,0
32768,8192,float,sum,-1,210.6,0.16,0.31,0,199.8,0.16,0.33,0
65536,16384,float,sum,-1,302.7,0.22,0.43,0,288.2,0.23,0.45,0
131072,32768,float,sum,-1,456.3,0.29,0.57,0,460.4,0.28,0.57,0
262144,65536,float,sum,-1,535.9,0.49,0.97,0,548.6,0.48,0.95,0
524288,131072,float,sum,-1,721.1,0.73,1.45,0,703.9,0.74,1.48,0
1048576,262144,float,sum,-1,815.1,1.29,2.56,0,841.6,1.25,2.48,0
2097152,524288,float,sum,-1,1222.7,1.72,3.42,0,1359.4,1.54,3.07,0
4194304,1048576,float,sum,-1,2174.8,1.93,3.84,0,2145.2,1.96,3.90,0
8388608,2097152,float,sum,-1,2710.0,3.10,6.17,0,2021.5,4.15,8.27,0
16777216,4194304,float,sum,-1,3161.8,5.31,10.57,0,2971.2,5.65,11.25,0
33554432,8388608,float,sum,-1,3997.0,8.39,16.72,0,3891.0,8.62,17.18,0
67108864,16777216,float,sum,-1,5424.1,12.37,24.65,0,5706.7,11.76,23.43,0
134217728,33554432,float,sum,-1,8769.6,15.30,30.49,0,8345.5,16.08,32.04,0
268435456,67108864,float,sum,-1,14440,18.59,37.03,0,14564,18.43,36.72,0
536870912,134217728,float,sum,-1,25971,20.67,41.18,0,25018,21.46,42.75,0
1073741824,268435456,float,sum,-1,37271,28.81,57.39,0,37067,28.97,57.71,0
2147483648,536870912,float,sum,-1,63714,33.70,67.15,0,63468,33.84,67.41,0
4294967296,1073741824,float,sum,-1,130017,33.03,65.81,0,129773,33.10,65.93,0
8,2,float,sum,-1,63.26,0.00,0.00,0,59.56,0.00,0.00,0
16,4,float,sum,-1,58.26,0.00,0.00,0,57.16,0.00,0.00,0
32,8,float,sum,-1,58.01,0.00,0.00,0,58.27,0.00,0.00,0
64,16,float,sum,-1,64.43,0.00,0.00,0,64.18,0.00,0.00,0
128,32,float,sum,-1,128.9,0.00,0.00,0,128.8,0.00,0.00,0
256,64,float,sum,-1,133.8,0.00,0.00,0,128.8,0.00,0.00,0
512,128,float,sum,-1,134.0,0.00,0.01,0,135.5,0.00,0.01,0
1024,256,float,sum,-1,135.7,0.01,0.02,0,135.1,0.01,0.02,0
2048,512,float,sum,-1,143.9,0.01,0.03,0,142.6,0.01,0.03,0
4096,1024,float,sum,-1,158.6,0.03,0.05,0,152.7,0.03,0.05,0
8192,2048,float,sum,-1,158.6,0.05,0.10,0,158.8,0.05,0.10,0
16384,4096,float,sum,-1,185.1,0.09,0.18,0,181.8,0.09,0.18,0
32768,8192,float,sum,-1,206.2,0.16,0.32,0,199.1,0.16,0.33,0
65536,16384,float,sum,-1,306.9,0.21,0.43,0,281.3,0.23,0.46,0
131072,32768,float,sum,-1,469.1,0.28,0.56,0,439.9,0.30,0.59,0
262144,65536,float,sum,-1,541.4,0.48,0.96,0,539.6,0.49,0.97,0
524288,131072,float,sum,-1,630.5,0.83,1.66,0,610.1,0.86,1.71,0
1048576,262144,float,sum,-1,725.6,1.45,2.88,0,698.4,1.50,2.99,0
2097152,524288,float,sum,-1,1189.9,1.76,3.51,0,1194.0,1.76,3.50,0
4194304,1048576,float,sum,-1,1828.7,2.29,4.57,0,1745.2,2.40,4.79,0
8388608,2097152,float,sum,-1,2218.7,3.78,7.53,0,2200.5,3.81,7.59,0
16777216,4194304,float,sum,-1,2454.5,6.84,13.62,0,2672.8,6.28,12.50,0
33554432,8388608,float,sum,-1,3541.6,9.47,18.87,0,3361.1,9.98,19.89,0
67108864,16777216,float,sum,-1,5522.5,12.15,24.21,0,5518.9,12.16,24.22,0
134217728,33554432,float,sum,-1,7795.1,17.22,34.30,0,7696.1,17.44,34.74,0
268435456,67108864,float,sum,-1,12929,20.76,41.36,0,12448,21.56,42.96,0
536870912,134217728,float,sum,-1,25140,21.36,42.54,0,24751,21.69,43.21,0
1073741824,268435456,float,sum,-1,33521,32.03,63.81,0,32526,33.01,65.77,0
2147483648,536870912,float,sum,-1,53962,39.80,79.28,0,53672,40.01,79.71,0
4294967296,1073741824,float,sum,-1,98798,43.47,86.60,0,99301,43.25,86.17,0
8,2,float,sum,-1,59.71,0.00,0.00,0,57.00,0.00,0.00,0
16,4,float,sum,-1,60.08,0.00,0.00,0,57.56,0.00,0.00,0
32,8,float,sum,-1,56.74,0.00,0.00,0,57.62,0.00,0.00,0
64,16,float,sum,-1,62.79,0.00,0.00,0,66.03,0.00,0.00,0
128,32,float,sum,-1,129.9,0.00,0.00,0,127.7,0.00,0.00,0
256,64,float,sum,-1,131.5,0.00,0.00,0,130.2,0.00,0.00,0
512,128,float,sum,-1,134.2,0.00,0.01,0,131.4,0.00,0.01,0
1024,256,float,sum,-1,136.8,0.01,0.01,0,135.0,0.01,0.02,0
2048,512,float,sum,-1,144.5,0.01,0.03,0,142.2,0.01,0.03,0
4096,1024,float,sum,-1,158.6,0.03,0.05,0,157.4,0.03,0.05,0
8192,2048,float,sum,-1,160.9,0.05,0.10,0,158.6,0.05,0.10,0
16384,4096,float,sum,-1,186.3,0.09,0.18,0,183.4,0.09,0.18,0
32768,8192,float,sum,-1,206.8,0.16,0.32,0,213.5,0.15,0.31,0
65536,16384,float,sum,-1,313.2,0.21,0.42,0,286.6,0.23,0.46,0
131072,32768,float,sum,-1,450.5,0.29,0.58,0,451.2,0.29,0.58,0
262144,65536,float,sum,-1,533.6,0.49,0.98,0,562.3,0.47,0.93,0
524288,131072,float,sum,-1,558.3,0.94,1.87,0,606.6,0.86,1.72,0
1048576,262144,float,sum,-1,688.4,1.52,3.03,0,689.7,1.52,3.03,0
2097152,524288,float,sum,-1,1044.7,2.01,4.00,0,900.5,2.33,4.64,0
4194304,1048576,float,sum,-1,1672.6,2.51,5.00,0,1557.6,2.69,5.36,0
8388608,2097152,float,sum,-1,1648.7,5.09,10.14,0,1785.8,4.70,9.36,0
16777216,4194304,float,sum,-1,2340.9,7.17,14.28,0,2165.8,7.75,15.43,0
33554432,8388608,float,sum,-1,2965.0,11.32,22.55,0,3005.3,11.17,22.24,0
67108864,16777216,float,sum,-1,4089.0,16.41,32.70,0,3925.1,17.10,34.06,0
134217728,33554432,float,sum,-1,5816.8,23.07,45.97,0,5976.4,22.46,44.74,0
268435456,67108864,float,sum,-1,9873.8,27.19,54.16,0,9566.6,28.06,55.90,0
536870912,134217728,float,sum,-1,18426,29.14,58.04,0,17900,29.99,59.75,0
1073741824,268435456,float,sum,-1,32752,32.78,65.31,0,32677,32.86,65.46,0
2147483648,536870912,float,sum,-1,53975,39.79,79.26,0,53699,39.99,79.67,0
4294967296,1073741824,float,sum,-1,99075,43.35,86.36,0,100817,42.60,84.87,0
8,2,float,sum,-1,59.58,0.00,0.00,0,57.67,0.00,0.00,0
16,4,float,sum,-1,56.64,0.00,0.00,0,57.38,0.00,0.00,0
32,8,float,sum,-1,56.75,0.00,0.00,0,57.42,0.00,0.00,0
64,16,float,sum,-1,63.78,0.00,0.00,0,63.31,0.00,0.00,0
128,32,float,sum,-1,129.3,0.00,0.00,0,127.1,0.00,0.00,0
256,64,float,sum,-1,129.9,0.00,0.00,0,131.4,0.00,0.00,0
512,128,float,sum,-1,133.6,0.00,0.01,0,131.5,0.00,0.01,0
1024,256,float,sum,-1,135.6,0.01,0.02,0,134.5,0.01,0.02,0
2048,512,float,sum,-1,143.2,0.01,0.03,0,141.5,0.01,0.03,0
4096,1024,float,sum,-1,158.4,0.03,0.05,0,155.6,0.03,0.05,0
8192,2048,float,sum,-1,161.7,0.05,0.10,0,158.3,0.05,0.10,0
16384,4096,float,sum,-1,195.2,0.08,0.17,0,190.9,0.09,0.17,0
32768,8192,float,sum,-1,210.4,0.16,0.31,0,203.7,0.16,0.32,0
65536,16384,float,sum,-1,288.5,0.23,0.45,0,284.8,0.23,0.46,0
131072,32768,float,sum,-1,427.8,0.31,0.61,0,438.9,0.30,0.59,0
262144,65536,float,sum,-1,536.6,0.49,0.97,0,551.7,0.48,0.95,0
524288,131072,float,sum,-1,562.4,0.93,1.86,0,595.8,0.88,1.75,0
1048576,262144,float,sum,-1,655.4,1.60,3.19,0,670.2,1.56,3.12,0
2097152,524288,float,sum,-1,1002.2,2.09,4.17,0,953.2,2.20,4.38,0
4194304,1048576,float,sum,-1,1709.3,2.45,4.89,0,1735.8,2.42,4.81,0
8388608,2097152,float,sum,-1,1938.3,4.33,8.62,0,1838.5,4.56,9.09,0
16777216,4194304,float,sum,-1,2214.0,7.58,15.10,0,2164.3,7.75,15.44,0
33554432,8388608,float,sum,-1,3096.9,10.83,21.59,0,3112.4,10.78,21.48,0
67108864,16777216,float,sum,-1,3871.5,17.33,34.53,0,4092.0,16.40,32.67,0
134217728,33554432,float,sum,-1,5800.3,23.14,46.10,0,5803.3,23.13,46.07,0
268435456,67108864,float,sum,-1,9822.8,27.33,54.44,0,10215,26.28,52.35,0
536870912,134217728,float,sum,-1,18436,29.12,58.02,0,18603,28.86,57.49,0
1073741824,268435456,float,sum,-1,33064,32.47,64.70,0,32938,32.60,64.94,0
2147483648,536870912,float,sum,-1,53636,40.04,79.76,0,54651,39.29,78.28,0
4294967296,1073741824,float,sum,-1,98891,43.43,86.52,0,99662,43.10,85.85,0
8,2,float,sum,-1,60.73,0.00,0.00,0,57.52,0.00,0.00,0
16,4,float,sum,-1,57.41,0.00,0.00,0,58.18,0.00,0.00,0
32,8,float,sum,-1,57.86,0.00,0.00,0,56.72,0.00,0.00,0
64,16,float,sum,-1,64.51,0.00,0.00,0,62.04,0.00,0.00,0
128,32,float,sum,-1,128.5,0.00,0.00,0,127.6,0.00,0.00,0
256,64,float,sum,-1,130.7,0.00,0.00,0,130.0,0.00,0.00,0
512,128,float,sum,-1,139.3,0.00,0.01,0,131.0,0.00,0.01,0
1024,256,float,sum,-1,136.0,0.01,0.02,0,134.9,0.01,0.02,0
2048,512,float,sum,-1,144.2,0.01,0.03,0,142.3,0.01,0.03,0
4096,1024,float,sum,-1,157.1,0.03,0.05,0,154.4,0.03,0.05,0
8192,2048,float,sum,-1,162.4,0.05,0.10,0,160.3,0.05,0.10,0
16384,4096,float,sum,-1,182.9,0.09,0.18,0,172.5,0.10,0.19,0
