size,count,type,redop,root,time,algbw,busbw,#wrong,time,algbw,busbw,#wrong
8,2,float,sum,-1,22.92,0.00,0.00,0,22.55,0.00,0.00,0
16,4,float,sum,-1,22.63,0.00,0.00,0,22.65,0.00,0.00,0
32,8,float,sum,-1,22.53,0.00,0.00,0,22.57,0.00,0.00,0
64,16,float,sum,-1,25.53,0.00,0.00,0,25.93,0.00,0.00,0
128,32,float,sum,-1,26.32,0.00,0.01,0,25.99,0.00,0.01,0
256,64,float,sum,-1,30.31,0.01,0.02,0,26.07,0.01,0.02,0
512,128,float,sum,-1,27.39,0.02,0.04,0,26.85,0.02,0.04,0
1024,256,float,sum,-1,28.55,0.04,0.07,0,28.27,0.04,0.07,0
2048,512,float,sum,-1,140.3,0.01,0.03,0,29.64,0.07,0.13,0
4096,1024,float,sum,-1,55.99,0.07,0.14,0,55.28,0.07,0.14,0
8192,2048,float,sum,-1,56.92,0.14,0.27,0,55.84,0.15,0.28,0
16384,4096,float,sum,-1,70.41,0.23,0.44,0,81.23,0.20,0.38,0
32768,8192,float,sum,-1,76.65,0.43,0.80,0,71.64,0.46,0.86,0
65536,16384,float,sum,-1,110.3,0.59,1.11,0,125.5,0.52,0.98,0
131072,32768,float,sum,-1,206.4,0.64,1.19,0,205.0,0.64,1.20,0
262144,65536,float,sum,-1,423.0,0.62,1.16,0,434.1,0.60,1.13,0
524288,131072,float,sum,-1,782.4,0.67,1.26,0,786.0,0.67,1.25,0
1048576,262144,float,sum,-1,1585.1,0.66,1.24,0,1640.2,0.64,1.20,0
2097152,524288,float,sum,-1,414.9,5.05,9.48,0,465.9,4.50,8.44,0
4194304,1048576,float,sum,-1,667.3,6.29,11.79,0,673.9,6.22,11.67,0
8388608,2097152,float,sum,-1,1113.5,7.53,14.13,0,1105.3,7.59,14.23,0
16777216,4194304,float,sum,-1,9337.8,1.80,3.37,0,9648.0,1.74,3.26,0
33554432,8388608,float,sum,-1,10988,3.05,5.73,0,11429,2.94,5.50,0
67108864,16777216,float,sum,-1,10782,6.22,11.67,0,11511,5.83,10.93,0
134217728,33554432,float,sum,-1,12481,10.75,20.16,0,12105,11.09,20.79,0
268435456,67108864,float,sum,-1,13229,20.29,38.05,0,14158,18.96,35.55,0
536870912,134217728,float,sum,-1,23226,23.11,43.34,0,23036,23.31,43.70,0
1073741824,268435456,float,sum,-1,47086,22.80,42.76,0,30048,35.73,67.00,0
2147483648,536870912,float,sum,-1,53946,39.81,74.64,0,54142,39.66,74.37,0
