size,count,type,redop,root,time,algbw,busbw,#wrong,time,algbw,busbw,#wrong
8,2,float,sum,-1,47.71,0.00,0.00,0,46.10,0.00,0.00,0
16,4,float,sum,-1,46.12,0.00,0.00,0,45.65,0.00,0.00,0
32,8,float,sum,-1,45.52,0.00,0.00,0,44.54,0.00,0.00,0
64,16,float,sum,-1,52.04,0.00,0.00,0,51.14,0.00,0.00,0
128,32,float,sum,-1,53.05,0.00,0.00,0,52.08,0.00,0.00,0
256,64,float,sum,-1,60.38,0.00,0.01,0,52.58,0.00,0.01,0
512,128,float,sum,-1,56.72,0.01,0.02,0,54.44,0.01,0.02,0
1024,256,float,sum,-1,56.25,0.02,0.04,0,55.75,0.02,0.04,0
2048,512,float,sum,-1,59.88,0.03,0.07,0,59.65,0.03,0.07,0
4096,1024,float,sum,-1,126.6,0.03,0.06,0,126.5,0.03,0.06,0
8192,2048,float,sum,-1,128.0,0.06,0.13,0,126.5,0.06,0.13,0
16384,4096,float,sum,-1,129.4,0.13,0.25,0,127.0,0.13,0.25,0
32768,8192,float,sum,-1,135.8,0.24,0.47,0,134.8,0.24,0.48,0
65536,16384,float,sum,-1,145.4,0.45,0.89,0,142.3,0.46,0.91,0
131072,32768,float,sum,-1,163.6,0.80,1.58,0,160.7,0.82,1.61,0
262144,65536,float,sum,-1,224.6,1.17,2.30,0,201.0,1.30,2.57,0
524288,131072,float,sum,-1,292.7,1.79,3.53,0,289.9,1.81,3.56,0
1048576,262144,float,sum,-1,342.2,3.06,6.03,0,339.1,3.09,6.09,0
2097152,524288,float,sum,-1,425.2,4.93,9.71,0,426.6,4.92,9.68,0
4194304,1048576,float,sum,-1,658.3,6.37,12.54,0,657.5,6.38,12.56,0
8388608,2097152,float,sum,-1,1125.1,7.46,14.68,0,1129.5,7.43,14.62,0
16777216,4194304,float,sum,-1,1843.1,9.10,17.92,0,1829.5,9.17,18.05,0
33554432,8388608,float,sum,-1,2485.0,13.50,26.58,0,2470.4,13.58,26.74,0
67108864,16777216,float,sum,-1,5929.8,11.32,22.28,0,5859.4,11.45,22.55,0
134217728,33554432,float,sum,-1,6131.8,21.89,43.09,0,6117.5,21.94,43.19,0
268435456,67108864,float,sum,-1,6753.8,39.75,78.25,0,6755.6,39.74,78.23,0
536870912,134217728,float,sum,-1,13420,40.01,78.76,0,13465,39.87,78.50,0
1073741824,268435456,float,sum,-1,27423,39.15,77.09,0,27582,38.93,76.64,0
2147483648,536870912,float,sum,-1,57797,37.16,73.15,0,57723,37.20,73.24,0
4294967296,1073741824,float,sum,-1,120718,35.58,70.05,0,119879,35.83,70.54,0
8,2,float,sum,-1,47.94,0.00,0.00,0,46.03,0.00,0.00,0
16,4,float,sum,-1,45.92,0.00,0.00,0,45.02,0.00,0.00,0
32,8,float,sum,-1,46.85,0.00,0.00,0,46.09,0.00,0.00,0
64,16,float,sum,-1,52.52,0.00,0.00,0,52.80,0.00,0.00,0
128,32,float,sum,-1,52.80,0.00,0.00,0,52.26,0.00,0.00,0
256,64,float,sum,-1,53.62,0.00,0.01,0,52.76,0.00,0.01,0
512,128,float,sum,-1,54.70,0.01,0.02,0,53.63,0.01,0.02,0
1024,256,float,sum,-1,56.68,0.02,0.04,0,54.79,0.02,0.04,0
2048,512,float,sum,-1,60.38,0.03,0.07,0,58.55,0.03,0.07,0
4096,1024,float,sum,-1,127.5,0.03,0.06,0,125.4,0.03,0.06,0
8192,2048,float,sum,-1,128.7,0.06,0.13,0,125.7,0.07,0.13,0
16384,4096,float,sum,-1,128.8,0.13,0.25,0,126.9,0.13,0.25,0
32768,8192,float,sum,-1,135.8,0.24,0.47,0,134.5,0.24,0.48,0
65536,16384,float,sum,-1,143.9,0.46,0.90,0,142.4,0.46,0.91,0
131072,32768,float,sum,-1,163.4,0.80,1.58,0,160.4,0.82,1.61,0
262144,65536,float,sum,-1,202.3,1.30,2.55,0,201.1,1.30,2.57,0
524288,131072,float,sum,-1,301.1,1.74,3.43,0,290.1,1.81,3.56,0
1048576,262144,float,sum,-1,341.9,3.07,6.04,0,337.7,3.10,6.11,0
2097152,524288,float,sum,-1,424.1,4.95,9.74,0,427.5,4.91,9.66,0
4194304,1048576,float,sum,-1,659.8,6.36,12.52,0,657.1,6.38,12.57,0
8388608,2097152,float,sum,-1,1117.2,7.51,14.78,0,1120.3,7.49,14.74,0
16777216,4194304,float,sum,-1,1838.8,9.12,17.96,0,1827.3,9.18,18.08,0
33554432,8388608,float,sum,-1,2468.6,13.59,26.76,0,2470.4,13.58,26.74,0
