size,count,type,redop,root,time,algbw,busbw,#wrong,time,algbw,busbw,#wrong
8,2,float,sum,-1,46.73,0.00,0.00,0,44.95,0.00,0.00,0
16,4,float,sum,-1,45.16,0.00,0.00,0,45.03,0.00,0.00,0
32,8,float,sum,-1,45.16,0.00,0.00,0,44.87,0.00,0.00,0
64,16,float,sum,-1,51.43,0.00,0.00,0,51.30,0.00,0.00,0
128,32,float,sum,-1,53.45,0.00,0.00,0,52.74,0.00,0.00,0
256,64,float,sum,-1,60.94,0.00,0.01,0,53.31,0.00,0.01,0
512,128,float,sum,-1,57.25,0.01,0.02,0,55.09,0.01,0.02,0
1024,256,float,sum,-1,58.31,0.02,0.03,0,56.34,0.02,0.04,0
2048,512,float,sum,-1,63.04,0.03,0.06,0,61.80,0.03,0.07,0
4096,1024,float,sum,-1,126.3,0.03,0.06,0,123.1,0.03,0.07,0
8192,2048,float,sum,-1,128.0,0.06,0.13,0,125.1,0.07,0.13,0
16384,4096,float,sum,-1,127.8,0.13,0.25,0,126.9,0.13,0.26,0
32768,8192,float,sum,-1,138.5,0.24,0.47,0,136.8,0.24,0.48,0
65536,16384,float,sum,-1,150.4,0.44,0.86,0,147.8,0.44,0.88,0
131072,32768,float,sum,-1,170.7,0.77,1.52,0,167.7,0.78,1.55,0
262144,65536,float,sum,-1,231.0,1.13,2.25,0,232.2,1.13,2.24,0
524288,131072,float,sum,-1,325.7,1.61,3.19,0,339.1,1.55,3.07,0
1048576,262144,float,sum,-1,422.3,2.48,4.93,0,399.7,2.62,5.21,0
2097152,524288,float,sum,-1,601.8,3.48,6.91,0,804.4,2.61,5.17,0
4194304,1048576,float,sum,-1,1582.2,2.65,5.26,0,916.6,4.58,9.08,0
8388608,2097152,float,sum,-1,1326.5,6.32,12.55,0,1469.4,5.71,11.33,0
16777216,4194304,float,sum,-1,2191.6,7.66,15.19,0,2243.8,7.48,14.84,0
33554432,8388608,float,sum,-1,2883.4,11.64,23.09,0,2899.4,11.57,22.97,0
67108864,16777216,float,sum,-1,4940.4,13.58,26.96,0,4979.0,13.48,26.75,0
134217728,33554432,float,sum,-1,9084.0,14.78,29.32,0,9080.6,14.78,29.33,0
268435456,67108864,float,sum,-1,12390,21.67,42.99,0,12682,21.17,42.00,0
536870912,134217728,float,sum,-1,13981,38.40,76.20,0,13632,39.38,78.15,0
1073741824,268435456,float,sum,-1,26650,40.29,79.95,0,26692,40.23,79.83,0
2147483648,536870912,float,sum,-1,54346,39.52,78.41,0,54924,39.10,77.59,0
4294967296,1073741824,float,sum,-1,115847,37.07,73.57,0,115922,37.05,73.52,0
8,2,float,sum,-1,48.11,0.00,0.00,0,46.42,0.00,0.00,0
16,4,float,sum,-1,45.13,0.00,0.00,0,45.09,0.00,0.00,0
32,8,float,sum,-1,45.92,0.00,0.00,0,45.14,0.00,0.00,0
64,16,float,sum,-1,51.74,0.00,0.00,0,51.60,0.00,0.00,0
128,32,float,sum,-1,53.45,0.00,0.00,0,51.94,0.00,0.00,0
256,64,float,sum,-1,54.17,0.00,0.01,0,54.04,0.00,0.01,0
512,128,float,sum,-1,55.83,0.01,0.02,0,55.01,0.01,0.02,0
1024,256,float,sum,-1,58.87,0.02,0.03,0,56.40,0.02,0.04,0
2048,512,float,sum,-1,61.76,0.03,0.07,0,61.24,0.03,0.07,0
4096,1024,float,sum,-1,126.2,0.03,0.06,0,124.4,0.03,0.07,0
8192,2048,float,sum,-1,127.8,0.06,0.13,0,124.9,0.07,0.13,0
16384,4096,float,sum,-1,128.6,0.13,0.25,0,126.5,0.13,0.26,0
32768,8192,float,sum,-1,137.6,0.24,0.47,0,137.6,0.24,0.47,0
65536,16384,float,sum,-1,148.9,0.44,0.87,0,146.5,0.45,0.89,0
131072,32768,float,sum,-1,170.2,0.77,1.53,0,166.6,0.79,1.56,0
262144,65536,float,sum,-1,222.6,1.18,2.34,0,223.9,1.17,2.32,0
524288,131072,float,sum,-1,309.6,1.69,3.36,0,308.9,1.70,3.37,0
1048576,262144,float,sum,-1,364.6,2.88,5.71,0,365.5,2.87,5.69,0
2097152,524288,float,sum,-1,489.5,4.28,8.50,0,494.5,4.24,8.42,0
4194304,1048576,float,sum,-1,777.6,5.39,10.70,0,794.0,5.28,10.48,0
8388608,2097152,float,sum,-1,1333.6,6.29,12.48,0,1342.7,6.25,12.40,0
16777216,4194304,float,sum,-1,2187.9,7.67,15.22,0,2214.2,7.58,15.04,0
33554432,8388608,float,sum,-1,2903.5,11.56,22.93,0,2877.0,11.66,23.14,0
67108864,16777216,float,sum,-1,4861.5,13.80,27.39,0,4975.1,13.49,26.77,0
134217728,33554432,float,sum,-1,8978.8,14.95,29.66,0,9226.0,14.55,28.87,0
268435456,67108864,float,sum,-1,12380,21.68,43.03,0,12325,21.78,43.22,0
536870912,134217728,float,sum,-1,13602,39.47,78.32,0,13590,39.50,78.39,0
1073741824,268435456,float,sum,-1,26526,40.48,80.33,0,26707,40.20,79.78,0
2147483648,536870912,float,sum,-1,54413,39.47,78.32,0,54783,39.20,77.79,0
4294967296,1073741824,float,sum,-1,115223,37.28,73.97,0,115902,37.06,73.53,0
8,2,float,sum,-1,47.38,0.00,0.00,0,44.78,0.00,0.00,0
16,4,float,sum,-1,44.65,0.00,0.00,0,45.17,0.00,0.00,0
32,8,float,sum,-1,45.25,0.00,0.00,0,44.57,0.00,0.00,0
64,16,float,sum,-1,51.93,0.00,0.00,0,51.58,0.00,0.00,0
128,32,float,sum,-1,52.76,0.00,0.00,0,51.77,0.00,0.00,0
256,64,float,sum,-1,54.01,0.00,0.01,0,52.65,0.00,0.01,0
512,128,float,sum,-1,56.38,0.01,0.02,0,54.59,0.01,0.02,0
1024,256,float,sum,-1,57.82,0.02,0.04,0,56.44,0.02,0.04,0
2048,512,float,sum,-1,61.79,0.03,0.07,0,61.15,0.03,0.07,0
4096,1024,float,sum,-1,126.1,0.03,0.06,0,123.9,0.03,0.07,0
8192,2048,float,sum,-1,126.3,0.06,0.13,0,126.0,0.07,0.13,0
16384,4096,float,sum,-1,128.5,0.13,0.25,0,126.8,0.13,0.26,0
32768,8192,float,sum,-1,138.1,0.24,0.47,0,136.0,0.24,0.48,0
65536,16384,float,sum,-1,148.9,0.44,0.87,0,145.6,0.45,0.89,0
131072,32768,float,sum,-1,170.3,0.77,1.53,0,165.1,0.79,1.58,0
262144,65536,float,sum,-1,222.0,1.18,2.34,0,218.6,1.20,2.38,0
524288,131072,float,sum,-1,310.0,1.69,3.36,0,309.0,1.70,3.37,0
1048576,262144,float,sum,-1,364.9,2.87,5.70,0,365.8,2.87,5.69,0
2097152,524288,float,sum,-1,488.7,4.29,8.52,0,495.3,4.23,8.40,0
4194304,1048576,float,sum,-1,784.8,5.34,10.61,0,799.9,5.24,10.41,0
8388608,2097152,float,sum,-1,1328.3,6.32,12.53,0,1349.1,6.22,12.34,0
16777216,4194304,float,sum,-1,2188.4,7.67,15.21,0,2220.8,7.55,14.99,0
33554432,8388608,float,sum,-1,2897.6,11.58,22.98,0,2902.2,11.56,22.94,0
67108864,16777216,float,sum,-1,4934.3,13.60,26.99,0,4946.2,13.57,26.92,0
134217728,33554432,float,sum,-1,8880.2,15.11,29.99,0,8947.0,15.00,29.77,0
268435456,67108864,float,sum,-1,12373,21.69,43.05,0,12326,21.78,43.22,0
536870912,134217728,float,sum,-1,13596,39.49,78.36,0,13634,39.38,78.14,0
1073741824,268435456,float,sum,-1,26569,40.41,80.20,0,26722,40.18,79.74,0
2147483648,536870912,float,sum,-1,54299,39.55,78.48,0,54729,39.24,77.86,0
4294967296,1073741824,float,sum,-1,114892,37.38,74.18,0,116069,37.00,73.43,0
8,2,float,sum,-1,48.14,0.00,0.00,0,45.54,0.00,0.00,0
16,4,float,sum,-1,44.87,0.00,0.00,0,44.52,0.00,0.00,0
32,8,float,sum,-1,45.24,0.00,0.00,0,44.62,0.00,0.00,0
64,16,float,sum,-1,51.64,0.00,0.00,0,51.64,0.00,0.00,0
128,32,float,sum,-1,53.87,0.00,0.00,0,51.60,0.00,0.00,0
256,64,float,sum,-1,54.03,0.00,0.01,0,52.59,0.00,0.01,0
512,128,float,sum,-1,55.18,0.01,0.02,0,54.59,0.01,0.02,0
1024,256,float,sum,-1,58.35,0.02,0.03,0,56.70,0.02,0.04,0
2048,512,float,sum,-1,62.39,0.03,0.07,0,60.94,0.03,0.07,0
4096,1024,float,sum,-1,125.9,0.03,0.06,0,123.0,0.03,0.07,0
8192,2048,float,sum,-1,126.9,0.06,0.13,0,124.3,0.07,0.13,0
16384,4096,float,sum,-1,127.4,0.13,0.26,0,126.4,0.13,0.26,0
32768,8192,float,sum,-1,138.0,0.24,0.47,0,135.8,0.24,0.48,0
65536,16384,float,sum,-1,149.5,0.44,0.87,0,146.4,0.45,0.89,0
131072,32768,float,sum,-1,170.5,0.77,1.53,0,166.9,0.79,1.56,0
262144,65536,float,sum,-1,220.9,1.19,2.36,0,220.4,1.19,2.36,0
524288,131072,float,sum,-1,310.3,1.69,3.35,0,309.1,1.70,3.37,0
1048576,262144,float,sum,-1,364.2,2.88,5.71,0,365.4,2.87,5.69,0
2097152,524288,float,sum,-1,488.7,4.29,8.52,0,495.0,4.24,8.41,0
4194304,1048576,float,sum,-1,786.8,5.33,10.58,0,789.0,5.32,10.55,0
8388608,2097152,float,sum,-1,1331.4,6.30,12.50,0,1349.4,6.22,12.34,0
16777216,4194304,float,sum,-1,2194.2,7.65,15.17,0,2225.8,7.54,14.96,0
33554432,8388608,float,sum,-1,2925.2,11.47,22.76,0,2891.5,11.60,23.03,0
67108864,16777216,float,sum,-1,4962.5,13.52,26.84,0,4886.0,13.73,27.26,0
134217728,33554432,float,sum,-1,9038.9,14.85,29.47,0,9018.0,14.88,29.53,0
268435456,67108864,float,sum,-1,12383,21.68,43.02,0,12321,21.79,43.23,0
536870912,134217728,float,sum,-1,13585,39.52,78.42,0,13578,39.54,78.46,0
1073741824,268435456,float,sum,-1,26573,40.41,80.18,0,26692,40.23,79.83,0
2147483648,536870912,float,sum,-1,54450,39.44,78.26,0,54778,39.20,77.79,0
4294967296,1073741824,float,sum,-1,114935,37.37,74.15,0,115766,37.10,73.62,0
8,2,float,sum,-1,47.19,0.00,0.00,0,46.60,0.00,0.00,0
16,4,float,sum,-1,45.22,0.00,0.00,0,44.87,0.00,0.00,0
32,8,float,sum,-1,44.99,0.00,0.00,0,45.38,0.00,0.00,0
64,16,float,sum,-1,51.51,0.00,0.00,0,52.13,0.00,0.00,0
128,32,float,sum,-1,53.68,0.00,0.00,0,52.02,0.00,0.00,0
256,64,float,sum,-1,53.59,0.00,0.01,0,53.17,0.00,0.01,0
512,128,float,sum,-1,55.64,0.01,0.02,0,54.92,0.01,0.02,0
1024,256,float,sum,-1,57.68,0.02,0.04,0,56.51,0.02,0.04,0
2048,512,float,sum,-1,62.51,0.03,0.07,0,60.62,0.03,0.07,0
4096,1024,float,sum,-1,126.1,0.03,0.06,0,123.5,0.03,0.07,0
8192,2048,float,sum,-1,127.2,0.06,0.13,0,124.2,0.07,0.13,0
16384,4096,float,sum,-1,128.2,0.13,0.25,0,126.1,0.13,0.26,0
32768,8192,float,sum,-1,138.0,0.24,0.47,0,136.2,0.24,0.48,0
65536,16384,float,sum,-1,149.2,0.44,0.87,0,147.1,0.45,0.88,0
131072,32768,float,sum,-1,170.0,0.77,1.53,0,166.7,0.79,1.56,0
262144,65536,float,sum,-1,220.5,1.19,2.36,0,220.4,1.19,2.36,0
524288,131072,float,sum,-1,309.4,1.69,3.36,0,310.5,1.69,3.35,0
1048576,262144,float,sum,-1,365.5,2.87,5.69,0,367.0,2.86,5.67,0
2097152,524288,float,sum,-1,489.2,4.29,8.51,0,494.1,4.24,8.42,0
4194304,1048576,float,sum,-1,784.6,5.35,10.61,0,789.7,5.31,10.54,0
8388608,2097152,float,sum,-1,1328.3,6.32,12.53,0,1345.8,6.23,12.37,0
16777216,4194304,float,sum,-1,2190.9,7.66,15.20,0,2216.2,7.57,15.02,0
33554432,8388608,float,sum,-1,2899.1,11.57,22.97,0,2902.2,11.56,22.94,0
67108864,16777216,float,sum,-1,4960.3,13.53,26.85,0,4989.6,13.45,26.69,0
134217728,33554432,float,sum,-1,9038.5,14.85,29.47,0,9159.0,14.65,29.08,0
268435456,67108864,float,sum,-1,12361,21.72,43.09,0,12333,21.77,43.19,0
536870912,134217728,float,sum,-1,13610,39.45,78.28,0,13586,39.52,78.41,0
1073741824,268435456,float,sum,-1,26549,40.44,80.26,0,26694,40.22,79.82,0
2147483648,536870912,float,sum,-1,54388,39.48,78.35,0,54912,39.11,77.60,0
4294967296,1073741824,float,sum,-1,115838,37.08,73.58,0,115775,37.10,73.62,0
8,2,float,sum,-1,46.86,0.00,0.00,0,45.74,0.00,0.00,0
16,4,float,sum,-1,44.91,0.00,0.00,0,44.46,0.00,0.00,0
32,8,float,sum,-1,44.93,0.00,0.00,0,44.86,0.00,0.00,0
64,16,float,sum,-1,51.90,0.00,0.00,0,51.45,0.00,0.00,0
128,32,float,sum,-1,53.72,0.00,0.00,0,52.79,0.00,0.00,0
256,64,float,sum,-1,53.85,0.00,0.01,0,52.47,0.00,0.01,0
512,128,float,sum,-1,55.10,0.01,0.02,0,54.32,0.01,0.02,0
1024,256,float,sum,-1,57.55,0.02,0.04,0,57.12,0.02,0.04,0
2048,512,float,sum,-1,62.34,0.03,0.07,0,60.93,0.03,0.07,0
4096,1024,float,sum,-1,125.8,0.03,0.06,0,123.4,0.03,0.07,0
8192,2048,float,sum,-1,127.1,0.06,0.13,0,125.5,0.07,0.13,0
16384,4096,float,sum,-1,128.6,0.13,0.25,0,127.1,0.13,0.26,0
32768,8192,float,sum,-1,137.9,0.24,0.47,0,136.9,0.24,0.47,0
65536,16384,float,sum,-1,148.8,0.44,0.87,0,147.1,0.45,0.88,0
131072,32768,float,sum,-1,168.9,0.78,1.54,0,168.0,0.78,1.55,0
262144,65536,float,sum,-1,220.8,1.19,2.36,0,219.9,1.19,2.37,0
524288,131072,float,sum,-1,310.4,1.69,3.35,0,309.3,1.70,3.36,0
1048576,262144,float,sum,-1,365.0,2.87,5.70,0,365.9,2.87,5.69,0
2097152,524288,float,sum,-1,489.2,4.29,8.51,0,494.2,4.24,8.42,0
4194304,1048576,float,sum,-1,781.8,5.36,10.65,0,789.9,5.31,10.54,0
8388608,2097152,float,sum,-1,1328.7,6.31,12.53,0,1345.0,6.24,12.38,0
16777216,4194304,float,sum,-1,2175.6,7.71,15.30,0,2266.3,7.40,14.69,0
33554432,8388608,float,sum,-1,2904.4,11.55,22.93,0,2893.3,11.60,23.01,0
