size,count,type,redop,root,time,algbw,busbw,#wrong,time,algbw,busbw,#wrong
8,2,float,sum,-1,784.5,0.00,0.00,0,711.6,0.00,0.00,0
16,4,float,sum,-1,695.0,0.00,0.00,0,926.1,0.00,0.00,0
32,8,float,sum,-1,859.7,0.00,0.00,0,1148.0,0.00,0.00,0
64,16,float,sum,-1,631.8,0.00,0.00,0,665.7,0.00,0.00,0
128,32,float,sum,-1,455.0,0.00,0.00,0,494.3,0.00,0.00,0
256,64,float,sum,-1,719.0,0.00,0.00,0,858.6,0.00,0.00,0
512,128,float,sum,-1,454.7,0.00,0.00,0,2014.4,0.00,0.00,0
1024,256,float,sum,-1,638.9,0.00,0.00,0,711.7,0.00,0.00,0
2048,512,float,sum,-1,516.1,0.00,0.01,0,509.1,0.00,0.01,0
4096,1024,float,sum,-1,581.2,0.01,0.01,0,568.1,0.01,0.01,0
8192,2048,float,sum,-1,979.2,0.01,0.02,0,1030.4,0.01,0.02,0
16384,4096,float,sum,-1,3678.8,0.00,0.01,0,2386.3,0.01,0.01,0
32768,8192,float,sum,-1,3125.0,0.01,0.02,0,3144.9,0.01,0.02,0
65536,16384,float,sum,-1,3281.4,0.02,0.04,0,3434.8,0.02,0.04,0
131072,32768,float,sum,-1,4182.4,0.03,0.06,0,3511.5,0.04,0.07,0
262144,65536,float,sum,-1,4039.3,0.06,0.13,0,3688.8,0.07,0.14,0
524288,131072,float,sum,-1,36510,0.01,0.03,0,37355,0.01,0.03,0
1048576,262144,float,sum,-1,37761,0.03,0.05,0,35834,0.03,0.06,0
2097152,524288,float,sum,-1,37788,0.06,0.11,0,37042,0.06,0.11,0
4194304,1048576,float,sum,-1,36417,0.12,0.23,0,35397,0.12,0.23,0
8388608,2097152,float,sum,-1,57010,0.15,0.29,0,50877,0.16,0.32,0
16777216,4194304,float,sum,-1,99737,0.17,0.33,0,97975,0.17,0.34,0
33554432,8388608,float,sum,-1,192917,0.17,0.34,0,181602,0.18,0.36,0
67108864,16777216,float,sum,-1,566690,0.12,0.23,0,383341,0.18,0.34,0
