size,count,type,redop,root,time,algbw,busbw,#wrong,time,algbw,busbw,#wrong
8,2,float,sum,-1,95.33,0.00,0.00,0,45.03,0.00,0.00,0
16,4,float,sum,-1,114.9,0.00,0.00,0,45.52,0.00,0.00,0
32,8,float,sum,-1,45.65,0.00,0.00,0,45.98,0.00,0.00,0
64,16,float,sum,-1,53.27,0.00,0.00,0,51.92,0.00,0.00,0
128,32,float,sum,-1,190.6,0.00,0.00,0,99.23,0.00,0.00,0
256,64,float,sum,-1,109.9,0.00,0.00,0,99.90,0.00,0.01,0
512,128,float,sum,-1,127.3,0.00,0.01,0,170.6,0.00,0.01,0
1024,256,float,sum,-1,184.5,0.01,0.01,0,155.1,0.01,0.01,0
2048,512,float,sum,-1,114.7,0.02,0.04,0,115.1,0.02,0.04,0
4096,1024,float,sum,-1,130.4,0.03,0.06,0,129.0,0.03,0.06,0
8192,2048,float,sum,-1,132.1,0.06,0.12,0,131.4,0.06,0.12,0
16384,4096,float,sum,-1,139.3,0.12,0.23,0,137.5,0.12,0.24,0
32768,8192,float,sum,-1,150.2,0.22,0.43,0,152.0,0.22,0.43,0
65536,16384,float,sum,-1,208.7,0.31,0.62,0,217.2,0.30,0.60,0
131072,32768,float,sum,-1,322.7,0.41,0.81,0,334.9,0.39,0.78,0
262144,65536,float,sum,-1,491.3,0.53,1.06,0,493.1,0.53,1.05,0
524288,131072,float,sum,-1,369.2,1.42,2.82,0,337.5,1.55,3.08,0
1048576,262144,float,sum,-1,502.5,2.09,4.14,0,444.3,2.36,4.68,0
2097152,524288,float,sum,-1,709.5,2.96,5.87,0,718.1,2.92,5.80,0
4194304,1048576,float,sum,-1,1243.9,3.37,6.69,0,1169.3,3.59,7.12,0
8388608,2097152,float,sum,-1,1410.7,5.95,11.80,0,1311.7,6.39,12.69,0
16777216,4194304,float,sum,-1,1745.2,9.61,19.08,0,1603.7,10.46,20.76,0
33554432,8388608,float,sum,-1,2184.5,15.36,30.48,0,2357.2,14.23,28.25,0
67108864,16777216,float,sum,-1,3106.6,21.60,42.87,0,3154.1,21.28,42.22,0
134217728,33554432,float,sum,-1,4982.5,26.94,53.45,0,4979.3,26.95,53.49,0
268435456,67108864,float,sum,-1,9804.6,27.38,54.33,0,9651.9,27.81,55.19,0
536870912,134217728,float,sum,-1,15687,34.22,67.91,0,15414,34.83,69.12,0
1073741824,268435456,float,sum,-1,27240,39.42,78.22,0,27008,39.76,78.89,0
2147483648,536870912,float,sum,-1,49575,43.32,85.96,0,49797,43.12,85.58,0
4294967296,1073741824,float,sum,-1,99421,43.20,85.72,0,99588,43.13,85.58,0
8,2,float,sum,-1,48.93,0.00,0.00,0,46.35,0.00,0.00,0
16,4,float,sum,-1,45.36,0.00,0.00,0,45.88,0.00,0.00,0
32,8,float,sum,-1,46.04,0.00,0.00,0,45.44,0.00,0.00,0
64,16,float,sum,-1,51.04,0.00,0.00,0,49.93,0.00,0.00,0
128,32,float,sum,-1,98.20,0.00,0.00,0,99.95,0.00,0.00,0
256,64,float,sum,-1,99.48,0.00,0.01,0,99.77,0.00,0.01,0
512,128,float,sum,-1,102.8,0.00,0.01,0,102.0,0.01,0.01,0
1024,256,float,sum,-1,107.8,0.01,0.02,0,108.3,0.01,0.02,0
2048,512,float,sum,-1,117.2,0.02,0.03,0,114.2,0.02,0.04,0
4096,1024,float,sum,-1,130.1,0.03,0.06,0,125.5,0.03,0.06,0
8192,2048,float,sum,-1,133.0,0.06,0.12,0,132.0,0.06,0.12,0
16384,4096,float,sum,-1,153.7,0.11,0.21,0,155.5,0.11,0.21,0
32768,8192,float,sum,-1,149.8,0.22,0.43,0,144.4,0.23,0.45,0
